id,property_id,parcel_id,address,county,state,amount_due,status,availability_status
946080,8b5f5563-fa2f-6978-3937-2ad58fc20a7f,02-06000-0002-6000,509 Chesapeake Ave Eastport MD,Anne Arundel,MD,9743.9,,unavailable
338663,352f2142-1231-428d-a4e7-09dec2e6d749,10-07-35-0-000-010.000-0,Co Hwy 59 Spruce Pine AL 35585,Franklin,AL,225.67,Lien,unavailable
1254061,f1c8fbc4-85d6-6656-5a64-1c8b2689677a,412034455014,Rotonda-West FL 33946,Charlotte,FL,2066.55,,available
1254062,88935a7e-f654-c9ae-c313-f7fee230331d,412035200014,Placida FL 33946,Charlotte,FL,145.65,,available
946081,65b4b6f1-d16b-757e-6800-9743bb935b05,02-06000-0002-8000,79 W Washington St Annapolis MD,Anne Arundel,MD,2465.4,,unavailable
532185,6af458f2-a900-eab5-839e-46f8e4d22471,42W60017 0000200,S Of Smith Rd Doloroso MS 39669,Wilkinson,MS,26.36,,unavailable
892054,d0f29e92-a46a-d4a6-4fd1-68e157c7f90b,03 09 08 27 3 000 002.001,Vaughn Rd Montgomery AL 36117,Montgomery,AL,6725.98,,unavailable
892055,dcd84efd-4553-9ae1-2655-38c195bdf4a1,03 09 08 27 3 000 002.002,Vaughn Rd Montgomery AL 36117,Montgomery,AL,12270.14,,unavailable
946082,aa107f2c-3d89-7252-2688-162c4e5131cd,02-06000-0136-2205,209 Main St Annapolis MD,Anne Arundel,MD,20782.21,,unavailable
946083,0810f4b8-c8f9-bda9-c144-828181c62bd2,02-06000-0169-6800,131 Eastern Ave Eastport MD,Anne Arundel,MD,8590.03,,unavailable
946084,8f1928f5-d10b-1703-1747-300f841faccc,02-06000-0171-6405,314 Locust Ave Annapolis MD,Anne Arundel,MD,13565.56,,unavailable
817863,600f0f91-6fe9-f340-df38-dc47c24d80cf,41-07-007B-0003-0011,Marie Ln WV,Raleigh,WV,245.73,,available
432963,2d1ad661-babc-cad9-f3d6-f2ee1a6766dc,64 25 04 19 0 000 002.0050,Jasper AL 35502,Walker,AL,119.37,,unavailable
946085,9a461a68-b46b-d457-3c6d-691bb956b611,02-06000-0225-0850,1000 Jackson St Eastport MD,Anne Arundel,MD,4680.4,,unavailable
1254374,d0c6ed14-8849-f7a5-5fa1-7cb1780b6be4,412129359006,Rotonda West FL 33947,Charlotte,FL,43.3,,available
432750,f20662be-12c1-7ac8-3100-ba76b8a513d3,64 17 06 13 1 000 003.0170,Domain Jasper AL 35501,Walker,AL,87.78,,unavailable
892129,ca056f22-524e-0a1e-b02d-7f602838c4c6,03 10 03 05 4 014 011.000,Taylor St Montgomery AL 36107,Montgomery,AL,30.19,,unavailable
892138,12bd3c15-e982-bc85-da82-e0b0dfd2f881,03 10 03 06 4 028 001.002,Howe St Montgomery AL 36104,Montgomery,AL,268.67,,unavailable
892135,73095629-6b48-9618-89db-45f94b1f00d4,03 10 03 06 4 022 003.000,Tunney St Montgomery AL 36104,Montgomery,AL,26.11,,unavailable
892136,e48ea553-ddbd-2858-f387-b23603a9fc2b,03 10 03 06 4 022 004.001,Tunney St Montgomery AL 36104,Montgomery,AL,26.11,,unavailable
892145,ce877918-0cd8-9eea-2ade-8672480bb231,03 10 03 07 1 004 004.000,N Union St Montgomery AL 36104,Montgomery,AL,129.05,,unavailable
892147,24d4842f-292b-b426-87ea-da91f1fe8920,03 10 03 07 2 008 003.000,Okelomski St Montgomery AL 36104,Montgomery,AL,23.06,,unavailable
892148,7b26c5f6-59a4-b927-3f5a-b3243c9980a8,03 10 03 07 2 008 011.000,Cooke St Montgomery AL 36104,Montgomery,AL,29.17,,unavailable
892150,c100234f-2abd-055b-e33c-98ccf1ecbe54,03 10 03 07 3 302 063.511,Montgomery AL 36104,Montgomery,AL,1890.98,,unavailable
1254509,665d6ad4-e9a1-0b00-eecc-24c658eaafa4,412134300002,FL,Charlotte,FL,63.72,,available
1254531,678527d8-59d3-555c-7a0a-fcd0ab5c8483,412303127002,Tee and Green Estates FL 33982,Charlotte,FL,325.22,,available
1254532,e053f005-715a-bcbd-1a97-cf45a1bcb515,412303127003,Tee and Green Estates FL 33982,Charlotte,FL,387.78,,available
892174,46c1ceab-6e41-e501-13bb-af0df5f43ffc,03 10 03 08 4 026 005.000,James St Montgomery AL 36107,Montgomery,AL,250.33,,unavailable
1254551,cea1e458-6aff-b592-a797-a9b5a0ca1b17,412303451021,Cleveland FL 33951,Charlotte,FL,246.16,,available
817801,5886c2a3-0b20-da7b-e1c8-6cb398bd18e7,41-07-007B-0002-0011,Margaret Ln WV,Raleigh,WV,228.31,,available
1254553,e47a392b-3c42-25c8-24bd-947fd751b4df,412304152001,Punta Gorda FL 33950,Charlotte,FL,5180.84,,available
817802,aa8b8fb3-503f-3e05-42b6-24223e7fcfec,41-07-007B-0002-0012,Margaret Ln WV,Raleigh,WV,228.31,,available
513971,0713ff83-9751-f15a-ae7c-862a211c31c2,02-3185-3315-2027,MD,Anne Arundel,MD,1154.97,,unavailable
892200,dc46c622-4356-2767-525f-3cbf345c0a0e,03 10 04 18 1 013 005.000,Dericote St Montgomery AL 36104,Montgomery,AL,33.25,,unavailable
892220,0e9e7059-691c-854f-37ff-d89f9d91aae4,03 10 04 19 2 004 012.001,Montgomery AL 36104,Montgomery,AL,376.7,,unavailable
1254701,a295626f-ae5b-a6aa-509f-4713791302b6,422001100008,Placida FL 33946,Charlotte,FL,124.01,,available
817803,9b54d8cf-ef70-d3a7-df1c-685d3ea15a4e,41-07-007B-0002-0013,Margaret Ln WV,Raleigh,WV,228.31,,available
532186,095036c4-c713-ff30-23eb-151ff905ee61,42W80035 0000100,E&w Cold Springs Rd MS 39669,Wilkinson,MS,1148.6,,unavailable
817804,6809a546-9303-de0a-f5e9-e0fd619ea12f,41-07-007B-0002-0014,Margaret Ln WV,Raleigh,WV,228.31,,available
1254780,96244581-ea3e-1dcc-7bdd-bc5addc3c785,422111400003,FL,Charlotte,FL,124.45,,available
892269,ccf32aac-45ff-83a8-ecb2-7f509da00e88,03 10 06 14 4 002 006.000,S Of I 85 Montgomery AL 36106,Montgomery,AL,333.9,,unavailable
817805,054dbca6-90da-ea02-e898-1c2249b2090f,41-07-007B-0002-0015,Margaret Ln WV,Raleigh,WV,228.31,,available
513974,b4e1f277-756d-eccf-0db2-0d6b96a16cf1,02-3190-9003-2265,MD,Anne Arundel,MD,6500.68,,unavailable
892271,ab699dfa-ddd4-f855-11c3-d9c245e50a3d,03 10 06 23 4 007 001.009,Young Barn Rd Montgomery AL 36106,Montgomery,AL,852.64,,unavailable
946086,3c9e398d-a7a5-d64d-19cb-675c132a4c20,02-06000-0226-5700,403 President Pl Eastport MD,Anne Arundel,MD,4187.62,,unavailable
946087,42322b47-6498-1ed6-ae9e-e84f4412d8c1,02-06000-0322-2800,1641 Forest Dr Eastport MD,Anne Arundel,MD,3269.94,,unavailable
